iter	MultiClass
0	1.359794987
1	1.336439219
2	1.315782815
3	1.297678199
4	1.281692295
5	1.267277233
6	1.254540229
7	1.243024133
8	1.232845805
9	1.223688275
10	1.215532615
11	1.208293092
12	1.201808531
13	1.195942762
14	1.190788922
15	1.186153933
16	1.181813036
17	1.177984954
18	1.174567406
19	1.171361781
20	1.168590802
21	1.166008349
22	1.163732687
23	1.161767866
24	1.159981222
25	1.158314925
26	1.156821516
27	1.155544402
28	1.154270296
29	1.153168098
30	1.152136348
31	1.151309759
32	1.150370429
33	1.149664016
34	1.149010044
35	1.148287816
36	1.147797212
37	1.147189035
38	1.146648564
39	1.146199995
40	1.145749873
41	1.145378583
42	1.145030074
43	1.14462537
44	1.144111162
45	1.143829602
46	1.143463021
47	1.143209492
48	1.142868711
49	1.142522811
50	1.142152939
51	1.141919635
52	1.141609309
53	1.141262615
54	1.140837764
55	1.140570672
56	1.140223911
57	1.13991034
58	1.139715684
59	1.139470369
60	1.139217249
61	1.139038755
62	1.138850382
63	1.138832782
64	1.138572726
65	1.138348964
66	1.137940998
67	1.137737716
68	1.137442057
69	1.137199491
70	1.136876043
71	1.13656057
72	1.136331712
73	1.136085566
74	1.135802529
75	1.135543054
76	1.135272525
77	1.135156155
78	1.134871037
79	1.134716345
80	1.134514539
81	1.134296367
82	1.134094465
83	1.133861717
84	1.133678243
85	1.133507523
86	1.133173845
87	1.133043922
88	1.132815007
89	1.132677898
90	1.132512745
91	1.132510139
92	1.132366721
93	1.132130679
94	1.13194626
95	1.131686159
96	1.131506771
97	1.131303115
98	1.131170138
99	1.13100472
100	1.130839533
101	1.130682377
102	1.130559362
103	1.130439037
104	1.130228022
105	1.129984532
106	1.129789421
107	1.129597836
108	1.129487178
109	1.129344038
110	1.129148119
111	1.128933744
112	1.128650513
113	1.128499779
114	1.128282783
115	1.127968356
116	1.127711118
117	1.12738167
118	1.127163936
119	1.126884858
120	1.126599583
121	1.126373276
122	1.126163258
123	1.125969518
124	1.125684078
125	1.125426787
126	1.125272044
127	1.124966464
128	1.124804984
129	1.124634196
130	1.124284711
131	1.124059416
132	1.123905141
133	1.123622258
134	1.123460901
135	1.123276663
136	1.123033202
137	1.122848358
138	1.122677141
139	1.122542168
140	1.1223942
141	1.122200746
142	1.121994848
143	1.121897648
144	1.121695478
145	1.121385931
146	1.121148064
147	1.120906661
148	1.120583703
149	1.12037614
150	1.120230758
151	1.119976771
152	1.119737731
153	1.119496772
154	1.119256046
155	1.119070558
156	1.118921206
157	1.118752421
158	1.118616183
159	1.118337857
160	1.118094854
161	1.117978846
162	1.117856406
163	1.117663707
164	1.11747109
165	1.117298317
166	1.11704256
167	1.116896625
168	1.116700903
169	1.116477152
170	1.116290516
171	1.116145897
172	1.115874702
173	1.115676338
174	1.115512061
175	1.115368281
176	1.115253176
177	1.115023816
178	1.114827925
179	1.114657526
180	1.114467969
181	1.114354116
182	1.114209939
183	1.113973991
184	1.113825343
185	1.113704875
186	1.113551245
187	1.113460159
188	1.113302004
189	1.113115717
190	1.112930605
191	1.112809326
192	1.112683634
193	1.112575202
194	1.112348389
195	1.112248513
196	1.112080375
197	1.111912741
198	1.111726659
199	1.111608632
200	1.111376172
201	1.111238491
202	1.111056623
203	1.11082781
204	1.110590209
205	1.11043783
206	1.110377889
207	1.110232669
208	1.110058106
209	1.109955581
210	1.109869771
211	1.109694285
212	1.109551872
213	1.109309609
214	1.109199055
215	1.10900533
216	1.108878171
217	1.108670112
218	1.108569495
219	1.108418382
220	1.108226543
221	1.108057302
222	1.107852904
223	1.107709279
224	1.107599311
225	1.107420952
226	1.107306874
227	1.107185129
228	1.107012069
229	1.106923711
230	1.106737554
231	1.106542987
232	1.106417869
233	1.106282148
234	1.10618044
235	1.106077024
236	1.105907257
237	1.105787011
238	1.105666562
239	1.10556723
240	1.105377072
241	1.105243291
242	1.105094102
243	1.104967976
244	1.104796193
245	1.104637722
246	1.104468617
247	1.104294218
248	1.10414563
249	1.104016377
250	1.103858489
251	1.103719513
252	1.103610317
253	1.103507156
254	1.103421647
255	1.103228331
256	1.103094202
257	1.102916868
258	1.102781072
259	1.102666959
260	1.102545321
261	1.102426254
262	1.102359601
263	1.102249123
264	1.102144228
265	1.102063959
266	1.101945355
267	1.101846055
268	1.101768121
269	1.101637995
270	1.101541797
271	1.101427004
272	1.101311261
273	1.101158575
274	1.101020306
275	1.100900765
276	1.100749006
277	1.10059031
278	1.100470349
279	1.100331542
280	1.100235265
281	1.100097376
282	1.099988352
283	1.099850675
284	1.099730391
285	1.099600505
286	1.09952008
287	1.099380065
288	1.099315068
289	1.099144963
290	1.098979769
291	1.098879935
292	1.098714568
293	1.098619603
294	1.098471537
295	1.098384619
296	1.098264328
297	1.098159953
298	1.098064903
299	1.097910108
300	1.097801223
301	1.097709108
302	1.097582923
303	1.097475446
304	1.097369749
305	1.097270206
306	1.097149688
307	1.097016386
308	1.096914599
309	1.096814361
310	1.09663954
311	1.096535489
312	1.096446135
313	1.096287511
314	1.096192177
315	1.096112999
316	1.095998136
317	1.095892627
318	1.095789636
319	1.095709748
320	1.095626517
321	1.095501983
322	1.095403998
323	1.095305183
324	1.095237151
325	1.095124194
326	1.095016616
327	1.094920205
328	1.094783708
329	1.094708614
330	1.094606003
331	1.094518917
332	1.094390635
333	1.094247821
334	1.094134434
335	1.09400909
336	1.093890039
337	1.093743557
338	1.093662783
339	1.093550302
340	1.093429711
341	1.093295416
342	1.093175111
343	1.093102822
344	1.092992705
345	1.09290417
346	1.092823594
347	1.092750464
348	1.092665921
349	1.092532314
350	1.092420913
351	1.092331306
352	1.092217104
353	1.092147866
354	1.09207658
355	1.091990829
356	1.091849537
357	1.091727457
358	1.091630856
359	1.091519126
360	1.091422528
361	1.091349058
362	1.091299777
363	1.091177803
364	1.091095175
365	1.090980581
366	1.090899449
367	1.090778647
368	1.090697814
369	1.090605188
370	1.09050074
371	1.090367082
372	1.09025116
373	1.090176312
374	1.090114881
375	1.090007735
376	1.089927405
377	1.089805401
